year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1994,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Dianne Feinstein","democrat","FALSE",3979152,8514089,"20171011"
1980,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Paul Gann","republican","FALSE",3091671,8324012,"20171011"
2004,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Don J. Grundmann","american independent","FALSE",81224,12053295,"20171011"
1998,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Matt Fong","republican","FALSE",3575078,8311905,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Gail K. Lightfoot","libertarian","FALSE",175242,10000160,"20171011"
2006,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Marsha Feinland","peace and freedom","FALSE",117764,8541476,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","TRUE","Dianne Feinstein","democrat","FALSE",5853651,10782743,"20171011"
1988,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Pete Wilson","republican","FALSE",5143409,9743598,"20171011"
2004,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","James P. ""Jim"" Gray","libertarian","FALSE",216522,12053295,"20171011"
1998,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Barbara Boxer","democrat","FALSE",4410056,8311905,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Barbara Boxer","democrat","FALSE",5173467,10799703,"20171011"
1998,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Timothy R. Erich","reform","FALSE",82918,8311905,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","TRUE","Gerald Horne","peace and freedom","FALSE",305697,10782743,"20171011"
2000,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Jose Luis ÂÂJoeÂÂ Camahort","reform","FALSE",96552,10623608,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Barbara Boxer","democrat","FALSE",5218441,10000160,"20171011"
1982,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Theresa ""Tena"" Dietrich","american independent","FALSE",83809,7805450,"20171011"
2000,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Medea Susan Benjamin","green","FALSE",326828,10623608,"20171011"
1988,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","","","TRUE",51,9743598,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Edward C. Noonan","american independent","FALSE",125441,10000160,"20171011"
1988,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","M. Elizabeth Munoz","peace and freedom","FALSE",166600,9743598,"20171011"
1976,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Jack McCoy","american independent","FALSE",82739,7470586,"20171011"
1988,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Merton D. Short","independent","FALSE",66288,9743598,"20171011"
2006,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Don J. Grundmann","independent","FALSE",75350,8541476,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","June R. Genis","libertarian","FALSE",235919,10799703,"20171011"
1976,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","S. I. (Sam) Hayakawa","republican","FALSE",3748973,7470586,"20171011"
1998,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","H. Joseph Perrin, Sr.","american independent","FALSE",54699,8311905,"20171011"
1998,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Ophie C. Beltran","peace and freedom","FALSE",48685,8311905,"20171011"
1998,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Ted Brown","libertarian","FALSE",93926,8311905,"20171011"
1994,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Barbara Blong","green","FALSE",140567,8514089,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","TRUE","Richard B. Boddie","libertarian","FALSE",247799,10782743,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Jerry Leon Carroll","","TRUE",10,10000160,"20171011"
1986,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Alan Cranston","democrat","FALSE",3646672,7398462,"20171011"
1980,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","James C. (Jim) Griffin","american independent","FALSE",129573,8324012,"20171011"
2006,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Dianne Feinstein","democrat","FALSE",5076289,8541476,"20171011"
1986,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Breck McKinley","libertarian","FALSE",66261,7398462,"20171011"
1994,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Elizabeth Cervantes Barron","peace and freedom","FALSE",255301,8514089,"20171011"
2012,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Dianne Feinstein","democrat","FALSE",7864624,12578511,"20171011"
2006,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","","","TRUE",326,8541476,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Hans J. Kugler","","TRUE",5,10000160,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","","","TRUE",267,10799703,"20171011"
1976,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","John V. Tunney","democrat","FALSE",3502862,7470586,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","TRUE","Paul Meeuwenberg","american independent","FALSE",281973,10782743,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Duane Roberts","green","FALSE",128510,10000160,"20171011"
1986,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Paul Kangas","peace and freedom","FALSE",33869,7398462,"20171011"
2006,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Todd Chretien","green","FALSE",147074,8541476,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Jerome ""Jerry"" McCready","american independent","FALSE",373051,10799703,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","TRUE","John Seymour","republican","FALSE",4093501,10782743,"20171011"
1982,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","David Wald","peace and freedom","FALSE",96388,7805450,"20171011"
2000,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Tom Campbell","republican","FALSE",3886853,10623608,"20171011"
2000,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Dianne Feinstein","democrat","FALSE",5932522,10623608,"20171011"
2016,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Loretta Sanchez","democrat","FALSE",4701417,12244170,"20171011"
2000,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Brian M. Rees","natural law","FALSE",58537,10623608,"20171011"
2004,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Marsha Feinland","peace and freedom","FALSE",243846,12053295,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Marsha Feinland","peace and freedom","FALSE",135093,10000160,"20171011"
1994,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Paul Meeuwenberg","american independent","FALSE",142771,8514089,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Bruce Herschensohn","republican","FALSE",4644182,10799703,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","James E. Harris","","TRUE",41,10000160,"20171011"
1980,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","David Wald","peace and freedom","FALSE",196260,8324012,"20171011"
2006,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Michael S. Metti","libertarian","FALSE",133851,8541476,"20171011"
1994,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Michael Huffington","republican","FALSE",3817025,8514089,"20171011"
1982,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Joseph Fuhrig","libertarian","FALSE",107720,7805450,"20171011"
2000,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Diane Beall Templin","american independent","FALSE",134598,10623608,"20171011"
1982,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Edmund G. Brown, Jr.","democrat","FALSE",3494968,7805450,"20171011"
1994,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Richard Benjamin Boddie","libertarian","FALSE",179100,8514089,"20171011"
1980,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","David Bergland","libertarian","FALSE",202410,8324012,"20171011"
2000,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Gail Katherine Lightfoot","libertarian","FALSE",187718,10623608,"20171011"
2004,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","","","TRUE",53,12053295,"20171011"
2004,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Bill Jones","republican","FALSE",4555922,12053295,"20171011"
1994,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","","","TRUE",173,8514089,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Carly Fiorina","republican","FALSE",4217366,10000160,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Genevieve Torres","peace and freedom","FALSE",372817,10799703,"20171011"
1976,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Omari Musa","independent","FALSE",31629,7470586,"20171011"
2016,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Kamala D. Harris","democrat","FALSE",7542753,12244170,"20171011"
2006,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Richard ""Dick"" Mountjoy","republican","FALSE",2990822,8541476,"20171011"
1980,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Alan Cranston","democrat","FALSE",4704098,8324012,"20171011"
2012,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Elizabeth Emken","republican","FALSE",4713887,12578511,"20171011"
1976,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","David Wald","peace and freedom","FALSE",104383,7470586,"20171011"
2010,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Connor Vlakancic","","TRUE",11,10000160,"20171011"
1988,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Leo McCarthy","democrat","FALSE",4287253,9743598,"20171011"
1988,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Jack Dean","libertarian","FALSE",79997,9743598,"20171011"
1982,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Pete Wilson","republican","FALSE",4022565,7805450,"20171011"
1986,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Ed Zschau","republican","FALSE",3541804,7398462,"20171011"
1992,"California","CA","06",93,71,"US Senate","Statewide","gen","TRUE","","","TRUE",122,10782743,"20171011"
1998,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Brian M. Rees","natural law","FALSE",46543,8311905,"20171011"
1978,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","John Shue ","national statesman","FALSE",2518,819256,"20171011"
1984,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","William L. ""Bill"" Armstrong","republican","FALSE",833821,1297809,"20171011"
2004,"Colorado","CO","08",84,62,"US Senate","Statewide","gen","FALSE","Ken Salazar","democrat","FALSE",1081188,2107472,"20171011"
1978,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Vedder V. Dron","united states party","FALSE",5789,819256,"20171011"
1992,"Colorado","CO","08",84,62,"US Senate","Statewide","gen","FALSE","Ben Nighthorse Campbell","democrat","FALSE",803725,1552289,"20171011"
2008,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Bruce E. Lohmiller","green","TRUE",9,2331621,"20171011"
2004,"Colorado","CO","08",84,62,"US Senate","Statewide","gen","FALSE","Finn Gotaas","unaffiliated","FALSE",1750,2107472,"20171011"
1986,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Henry John Olshaw","unaffiliated american","FALSE",1868,1060765,"20171011"
1980,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Earl Higgerson","statesman","FALSE",7265,1173142,"20171011"
1980,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Henry John Olshaw","unaffiliated-american","FALSE",4081,1173142,"20171011"
2008,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Bob Kinsey","green","FALSE",50004,2331621,"20171011"
1992,"Colorado","CO","08",84,62,"US Senate","Statewide","gen","FALSE","Dan Winters","independent","FALSE",20347,1552289,"20171011"
2002,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Doulgas ""Dayhorse"" Campbell","american constitution","FALSE",21547,1416082,"20171011"
2010,"Colorado","CO","08",84,62,"US Senate","Statewide","gen","FALSE","Robert Rank","","TRUE",67,1772286,"20171011"
2010,"Colorado","CO","08",84,62,"US Senate","Statewide","gen","FALSE","Jason Napolitano","independent reform","FALSE",19415,1772286,"20171011"
2014,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","RaÃl Acosta","unaffiliated","FALSE",24151,2041058,"20171011"
1986,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Ken Kramer","republican","FALSE",512994,1060765,"20171011"
2016,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Paul Noel Fiorino","none","FALSE",3216,2743023,"20171011"
1986,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Timothy E. Wirth","democrat","FALSE",529449,1060765,"20171011"
1980,"Colorado","CO","08",84,62,"US Senate","statewide","gen","FALSE","Gary Hart","democrat","FALSE",590501,1173142,"20171011"
